period_end,county,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_ppsf,median_list_price,homes_sold,homes_sold_mom,homes_sold_yoy,median_dom,daily_cases,percentage_fully_vaccinated,risk_index,risk,cost_of_living_rank,tax_burden,medianage
2021-11-30,Panola County,Texas,TX,All Residential,-1,320000.0,,134.90725126475547,1090000.0,1.0,,,53.0,4406.0,0.376,3.0,Critical,30.0,8.19,35.0
2021-11-30,Knox County,Texas,TX,All Residential,-1,224900.0,1.5556818181818182,82.86661753868829,89000.0,3.0,0.0,,112.0,484.0,0.386,1.0,Medium,30.0,8.19,35.0
2021-11-30,Macon County,Georgia,GA,All Residential,-1,16000.0,-0.5428571428571429,19.138755980861244,177000.0,5.0,4.0,4.0,85.0,2102.0,0.426,1.0,Medium,35.0,7.91,37.0
2021-11-30,Tallahatchie County,Mississippi,MS,All Residential,-1,335000.0,,186.11111111111111,,1.0,,0.0,21.0,3163.0,0.409,2.0,High,15.0,8.99,38.0
2021-11-30,Scott County,Arkansas,AR,All Residential,-1,240000.0,-0.2380952380952381,95.61645775794916,220000.0,2.0,1.0,1.0,90.0,2244.0,0.472,3.0,Critical,20.0,8.8,38.0
2021-11-30,Owsley County,Kentucky,KY,All Residential,-1,344500.0,,127.8968253968254,244900.0,2.0,,,69.0,1490.0,0.467,5.0,Extreme,22.0,8.58,39.0
2021-11-30,Lafayette County,Arkansas,AR,All Residential,-1,85000.0,,90.74410163339384,329900.0,3.0,,,83.0,1264.0,0.409,3.0,Critical,20.0,8.8,38.0
2021-11-30,Seminole County,Georgia,GA,All Residential,-1,282499.5,,150.15899027293844,,2.0,,,56.0,2141.0,0.448,3.0,Critical,35.0,7.91,37.0
2021-12-31,Iberville Parish,Louisiana,LA,All Residential,-1,211750.0,0.001892595221197,127.94170774310253,215000.0,28.0,0.0769230769230768,0.3999999999999999,79.0,8908.0,0.55,3.0,Critical,19.0,8.82,37.0
2021-12-31,Florence County,South Carolina,SC,All Residential,-1,65000.0,-0.5517241379310344,46.78770949720671,250000.0,7.0,0.0,0.75,52.0,41332.0,0.54,3.0,Critical,40.0,7.45,39.0
2021-12-31,Jefferson County,Oregon,OR,All Residential,-1,324900.0,-0.0582608695652173,194.7527181836259,389900.0,36.0,0.2413793103448276,0.0285714285714284,39.0,7085.0,0.62,3.0,Critical,27.0,8.29,39.0
2021-12-31,Henrico County,Virginia,VA,All Residential,-1,300500.0,-0.028137128072445,183.70739817123857,291500.0,504.0,0.0566037735849056,0.0391752577319588,10.0,62567.0,0.707,3.0,Critical,37.0,7.86,38.0
